algorithm, visitedCount, hallwayLength, pathLength, pathPrice, executionTime
AStarWeighted, 45, 48, 44, 140, 60400
AStarWeighted, 154, 208, 113, 412, 176400
AStarWeighted, 443, 443, 285, 1100, 705700
AStarWeighted, 1790, 1792, 636, 2496, 2544800
AStarWeighted, 34, 45, 43, 84, 38300
AStarWeighted, 177, 202, 89, 199, 124800
AStarWeighted, 441, 448, 249, 612, 618400
AStarWeighted, 1724, 1792, 630, 1560, 1172000
AStarWeighted, 126, 246, 56, 200, 10261457900
