algorithm, visitedCount, hallwayLength, pathLength, pathPrice, executionTime
BFAStar, 47, 48, 33, 112, 730100
BFAStar, 206, 208, 101, 380, 15356700
BFAStar, 443, 443, 269, 1052, 17494300
BFAStar, 1792, 1792, 631, 2496, 181588500
BFAStar, 37, 45, 41, 84, 133800
BFAStar, 180, 202, 75, 157, 134700
BFAStar, 448, 448, 233, 581, 4650900
BFAStar, 1792, 1792, 625, 1560, 111802700
BFAStar, 163, 246, 54, 200, 59596428200
