algorithm, visitedCount, hallwayLength, pathLength, pathPrice, executionTime
IDDFS, 48, 48, 46, 152, 1289400
IDDFS, 208, 208, 121, 444, 5397100
IDDFS, 443, 443, 289, 1116, 18493400
IDDFS, 1789, 1792, 636, 2496, 80057300
IDDFS, 42, 45, 43, 84, 349100
IDDFS, 202, 202, 89, 210, 2664700
IDDFS, 448, 448, 257, 614, 9832600
IDDFS, 1789, 1792, 630, 1560, 57508800
IDDFS, 246, 246, 82, 300, 2336300
