algorithm, visitedCount, hallwayLength, pathLength, pathPrice, executionTime
AStar, 48, 48, 36, 112, 695700
AStar, 208, 208, 105, 380, 1842300
AStar, 443, 443, 289, 1116, 3166400
AStar, 1792, 1792, 636, 2496, 4743100
AStar, 39, 45, 43, 84, 94100
AStar, 201, 202, 77, 157, 288100
AStar, 448, 448, 249, 612, 1282100
AStar, 1792, 1792, 678, 1703, 4875100
AStar, 246, 246, 56, 200, 17279585100
