algorithm, visitedCount, hallwayLength, pathLength, pathPrice, executionTime
IDAStar, 48, 48, 44, 140, 2809000
IDAStar, 206, 208, 113, 412, 6557300
IDAStar, 443, 443, 289, 1116, 29230000
IDAStar, 1792, 1792, 636, 2496, 219378300
IDAStar, 39, 45, 43, 84, 86500
IDAStar, 202, 202, 89, 199, 1984300
IDAStar, 448, 448, 249, 612, 11462700
IDAStar, 1792, 1792, 630, 1560, 108705100
IDAStar, 246, 246, 56, 200, 1519804100
