algorithm, visitedCount, hallwayLength, pathLength, pathPrice, executionTime
SADFS, 48, 48, 36, 112, 8028201
SADFS, 208, 208, 113, 412, 75281300
SADFS, 443, 443, 289, 1116, 194527299
SADFS, 1792, 1792, 636, 2496, 3122482100
SADFS, 45, 45, 43, 84, 1861701
SADFS, 202, 202, 77, 157, 24833700
SADFS, 448, 448, 253, 621, 160114999
SADFS, 1792, 1792, 630, 1560, 2926149400
SADFS, 246, 246, 58, 208, 23481101
